Entidad,Recaudo_Total,Recaudo_Anual_Medio,CV_Interanual,Tendencia_Pct,N_Anios,Tipologia,R_Lag12,R_Lag1,IEP,ERS,Semaforo
HATILLO DE LOBA,435705547.0,108926386.75,15.9384882461793,-9.882049631100978,4,Criticos,0.4759525395337475,-0.15349282307232665,0.25008424119856654,41.054937954249866,NARANJA
HATO COROZAL,344493883.0,86123470.75,14.339497116777164,-10.27368210192574,4,Criticos,0.45703636117170143,-0.15228810967595527,0.27264695618754997,41.228816704257405,NARANJA
HELICONIA,224893811.0,56223452.75,18.904632142685067,0.3299726198334555,4,Criticos,0.4672986748796261,-0.11838817445797284,-0.8812729554839446,45.403578338603374,ROJO
HERVEO,140146890.0,35036722.5,16.503468335976113,-26.48010469586589,4,Criticos,0.4887025923969171,-0.15304598824457474,-0.33064209974451914,43.629670978597815,ROJO
HOBO,241433215.0,60358303.75,24.89407847653541,-19.347303808218765,4,Criticos,0.5084133181954325,-0.1465294788729134,-1.3310390294211305,47.83752366019076,ROJO
ICONONZO,274720696.0,68680174.0,19.59913538036843,-25.010196392338784,4,Criticos,0.49894051846331566,-0.1565082137530352,0.31409502747528134,41.531929929471715,NARANJA
ILES,240372729.0,60093182.25,16.432419176227764,-12.997729372203452,4,Criticos,0.47900035632472626,-0.15367121704573594,0.3004502837154173,41.02044666869068,AMARILLO
IMUES,199408959.0,49852239.75,19.858673202782334,-8.00567842089783,4,Criticos,0.47601704659475225,-0.15263541432903086,0.5629535448987232,40.55315293485209,AMARILLO
INSTITUTO DEPARTAMENTAL DE SALUD DE NARINO,247229679925.05002,61807419981.262505,12.217096460091538,28.411247485340052,4,Consolidados,0.049334001257119904,-0.2462751988774032,0.9138345589997926,48.08256796210816,ROJO
INSTITUTO DEPARTAMENTAL DE SALUD DE NORTE DE SANTANDER,204487030337.03003,51121757584.25751,32.46222778089708,25.664258744554974,4,Consolidados,0.0324047556597378,-0.010748081510885252,0.32431848104039207,54.40824064857918,ROJO
INZA,835152885.0,208788221.25,17.93770625796696,-16.186206002269873,4,Criticos,0.49283721212805215,-0.15422303796993955,0.07000894714359819,41.87492834262796,NARANJA
ISNOS,1351641639.0,337910409.75,13.067020505706898,-13.321765267102725,4,Dependientes,0.4810884858743972,-0.14913979072776243,0.07886082766503444,41.165752695725345,NARANJA
ITUANGO,649924679.0,162481169.75,19.222003615152893,-26.914974865879802,4,Criticos,0.4966801758298395,-0.14684945648803474,-0.36147921871137545,44.02595685496159,ROJO
IZA,41500470.0,10375117.5,16.926643456434064,-4.336043423122677,4,Criticos,0.4593927924448435,-0.15204134385630277,0.4976888457735691,40.55441635564935,AMARILLO
JAMBALO,531624514.0,132906128.5,17.50887743031563,-13.481026497585475,4,Criticos,0.4823473180213638,-0.15337382336451685,0.3276729292337084,41.04542641455851,NARANJA
JENESANO,180081291.0,45020322.75,15.778331684144026,-13.260707243597006,4,Criticos,0.4689147975141494,-0.15341831461309888,0.13426761339395707,41.787639508005256,NARANJA
JERICO,634794528.0,158698632.0,13.703457852364442,-20.665214051750617,4,Criticos,0.4535800146466956,-0.14222735721440358,-0.49656472170489047,44.428531594310144,ROJO
JERUSALNN,73829638.0,18457409.5,22.145095741382985,-36.6430229550902,4,Criticos,0.5417971665366359,-0.15478022976712913,-0.5010926905058666,44.24123092241582,ROJO
JESS MARIA,107788155.0,26947038.75,27.776542936574835,-24.418993348573412,4,Criticos,0.489768032368179,-0.14346056792048262,-2.3240212914548306,51.488700187892725,ROJO
JORDAN,48362483.0,12090620.75,19.29099238911981,-8.659423049060571,4,Criticos,0.46824677984724794,-0.15226713828945565,0.7908487558329965,39.88207396503611,VERDE
JURADO,186733138.0,46683284.5,21.963276896247283,-9.451470365158219,4,Criticos,0.5047872051300052,-0.15302045974403883,0.39386983154243954,40.80386187546109,AMARILLO
LA ARGENTINA,553636778.0,138409194.5,16.085032191324146,-14.955151552449792,4,Criticos,0.4754153899978684,-0.15532770128091153,0.35707160177721864,40.94384362270142,AMARILLO
LA BELLEZA,200422418.0,50105604.5,17.18093619737015,-18.890164672097708,4,Criticos,0.49435480490171796,-0.15406197231432175,0.14730520283933976,41.54382616126349,NARANJA
